station_id;hardware;board_id
0000BFDD;TAPMV4.0;77SL4800113
0000C027;TAPMV4.0;77SL4800188
0000BFF3;TAPMV4.0;77SL4800031
0000BFB9;TAPMV4.0;77SL4800095
0000BFFA;TAPMV4.0;77SL4800042
0000C006;TAPMV4.0;77SL4800012
0000BFD7;TAPMV4.0;77SL4800123
0000BFD5;TAPMV4.0;77SL4800119
0000BFA7;TAPMV4.0;77SL4800136
0000C033;TAPMV4.0;77SL4800154
0000BFBC;TAPMV4.0;77SL4800153
0000BFDE;TAPMV4.0;77SL4800139
0000BFE6;TAPMV4.0;77SL4800195
0000BFB1;TAPMV4.0;77SL4800110
0000C056;TAPMV4.0;77SL4800009
0000BFB5;TAPMV4.0;77SL4800093
0000BF96;TAPMV4.0;77SL4800020
0000C015;TAPMV4.0;77SL4800170
0000BFBA;TAPMV4.0;77SL4800094
0000C005;TAPMV4.0;77SL4800021
0000C023;TAPMV4.0;77SL4800186
0000C037;TAPMV4.0;77SL4800058
0000C025;TAPMV4.0;77SL4800184
0000E633;TAPMV4.0;77SL4800264
0000E6AD;TAPMV4.0;77SL4800566
0000E6C0;TAPMV4.0;77SL4800409
0000E631;TAPMV4.0;77SL4800268
0000E6BC;TAPMV4.0;77SL4800406
0000E6B7;TAPMV4.0;77SL4800489
0000E6BE;TAPMV4.0;77SL4800408
0000E748;TAPMV4.0;77SL4800337
0000E741;TAPMV4.0;77SL4800345
0000E651;TAPMV4.0;77SL4800290
0000E76B;TAPMV4.0;77SL4800258
0000E710;TAPMV4.0;77SL4800396
0000E71D;TAPMV4.0;77SL4800518
0000E728;TAPMV4.0;77SL4800502
0000E6A0;TAPMV4.0;77SL4800464
0000E71B;TAPMV4.0;77SL4800515
0000E714;TAPMV4.0;77SL4800510
0000E6FA;TAPMV4.0;77SL4800416
0000E76A;TAPMV4.0;77SL4800259
0000E62E;TAPMV4.0;77SL4800569
0000E62C;TAPMV4.0;77SL4800532
0000E684;TAPMV4.0;77SL4800552
0000E71C;TAPMV4.0;77SL4800519
0000E663;TAPMV4.0;77SL4800447
0000E688;TAPMV4.0;77SL4800435
0000E67D;TAPMV4.0;77SL4800558
0000E667;TAPMV4.0;77SL4800449
0000E670;TAPMV4.0;77SL4800378
0000E665;TAPMV4.0;77SL4800451
0000E649;TAPMV4.0;77SL4800550
0000E673;TAPMV4.0;77SL4800365
0000E74C;TAPMV4.0;77SL4800340
0000E71F;TAPMV4.0;77SL4800308
0000E68A;TAPMV4.0;77SL4800436
0000E721;TAPMV4.0;77SL4800306
0000E67B;TAPMV4.0;77SL4800369
0000E75E;TAPMV4.0;77SL4800227
0000E696;TAPMV4.0;77SL4800481
0000E6F8;TAPMV4.0;77SL4800414
0000E64D;TAPMV4.0;77SL4800286
0000E74F;TAPMV4.0;77SL4800459
0000E755;TAPMV4.0;77SL4800525
0000E72A;TAPMV4.0;77SL4800500
0000E65C;TAPMV4.0;77SL4800301
0000E56B;TAPMV4.0;77SL4800927
0000E54C;TAPMV4.0;77SL4800677
0000E63C;TAPMV4.0;77SL4800495
0000E71E;TAPMV4.0;77SL4800303
0000E68F;TAPMV4.0;77SL4800441
0000E54B;TAPMV4.0;77SL4800678
0000E768;TAPMV4.0;77SL4800256
0000E713;TAPMV4.0;77SL4800401
0000E65E;TAPMV4.0;77SL4800305
0000E593;TAPMV4.0;77SL4800816
0000E65B;TAPMV4.0;77SL4800300
0000E6D6;TAPMV4.0;77SL4800279
0000E56F;TAPMV4.0;77SL4800923
0000E54A;TAPMV4.0;77SL4800689
0000E559;TAPMV4.0;77SL4800734
0000E5B0;TAPMV4.0;77SL4800760
0000E56C;TAPMV4.0;77SL4800926
0000E62F;TAPMV4.0;77SL4800269
0000E74B;TAPMV4.0;77SL4800341
0000E565;TAPMV4.0;77SL4800641
0000E5B5;TAPMV4.0;77SL4800766
0000E5E7;TAPMV4.0;77SL4800824
0000E5E4;TAPMV4.0;77SL4800827
0000E6B2;TAPMV4.0;77SL4800482
0000E5EA;TAPMV4.0;77SL4800821
0000E58C;TAPMV4.0;77SL4800622
0000E601;TAPMV4.0;77SL4800949
0000E65A;TAPMV4.0;77SL4800297
0000E6D8;TAPMV4.0;77SL4800283
0000E6DD;TAPMV4.0;77SL4800319
0000E60E;TAPMV4.0;77SL4800942
0000E6E7;TAPMV4.0;77SL4800426
0000E6F1;TAPMV4.0;77SL4800328
0000E61C;TAPMV4.0;77SL4800961
0000E5FF;TAPMV4.0;77SL4800948
0000E5FD;TAPMV4.0;77SL4800944
0000E5F5;TAPMV4.0;77SL4800586
0000E5FA;TAPMV4.0;77SL4800588
0000E609;TAPMV4.0;77SL4800934
0000E58D;TAPMV4.0;77SL4800621
0000E6C3;TAPMV4.0;77SL4800474
0000E6F6;TAPMV4.0;77SL4800412
0000E6EB;TAPMV4.0;77SL4800430
0000E6DC;TAPMV4.0;77SL4800320
0000E75A;TAPMV4.0;77SL4800225
0000E60D;TAPMV4.0;77SL4800940
0000E6FB;TAPMV4.0;77SL4800419
0000E50C;TAPMV4.0;77SL4800785
0000E5A9;TAPMV4.0;77SL4800879
0000E617;TAPMV4.0;77SL4800598
0000E621;TAPMV4.0;77SL4800963
0000E5D4;TAPMV4.0;77SL4800794
0000E6F3;TAPMV4.0;77SL4800324
0000E533;TAPMV4.0;77SL4800751
0000E585;TAPMV4.0;77SL4800630
0000E5AA;TAPMV4.0;77SL4800880
0000E5AC;TAPMV4.0;77SL4800882
0000E59F;TAPMV4.0;77SL4800685
0000E576;TAPMV4.0;77SL4800905
0000E578;TAPMV4.0;77SL4800902
0000E52E;TAPMV4.0;77SL4800755
0000E57B;TAPMV4.0;77SL4800922
0000C026;TAPMV4.0;77SL4800189
0000C03C;TAPMV4.0;77SL4800051
0000BFDA;TAPMV4.0;77SL4800126
0000C011;TAPMV4.0;77SL4800168
0000C047;TAPMV4.0;77SL4800199
0000C05E;TAPMV4.0;77SL4800074
0000BF9C;TAPMV4.0;77SL4800082
0000BFBB;TAPMV4.0;77SL4800099
0000C020;TAPMV4.0;77SL4800183
0000C001;TAPMV4.0;77SL4800025
0000C021;TAPMV4.0;77SL4800182
0000BFEA;TAPMV4.0;77SL4800041
0000BFAA;TAPMV4.0;77SL4800105
0000BFC3;TAPMV4.0;77SL4800015
0000C03D;TAPMV4.0;77SL4800053
0000BFED;TAPMV4.0;77SL4800043
0000BFEC;TAPMV4.0;77SL4800044
0000BF98;TAPMV4.0;77SL4800085
0000BFF4;TAPMV4.0;77SL4800036
0000BFB0;TAPMV4.0;77SL4800111
0000C02B;TAPMV4.0;77SL4800209
0000C03B;TAPMV4.0;77SL4800054
0000C04E;TAPMV4.0;77SL4800001
0000BFB3;TAPMV4.0;77SL4800089
0000BFD4;TAPMV4.0;77SL4800120
0000BFC6;TAPMV4.0;77SL4800018
0000BFB6;TAPMV4.0;77SL4800092
0000BFF6;TAPMV4.0;77SL4800034
0000BFA0;TAPMV4.0;77SL4800150
0000C052;TAPMV4.0;77SL4800005
0000BFC0;TAPMV4.0;77SL4800098
0000E6A9;TAPMV4.0;77SL4800563
0000E6BA;TAPMV4.0;77SL4800402
0000E656;TAPMV4.0;77SL4800295
0000E6A6;TAPMV4.0;77SL4800560
0000E6C1;TAPMV4.0;77SL4800410
0000E6BD;TAPMV4.0;77SL4800405
0000E6A4;TAPMV4.0;77SL4800562
0000E657;TAPMV4.0;77SL4800294
0000E626;TAPMV4.0;77SL4800538
0000C03A;TAPMV4.0;77SL4800055
0000C043;TAPMV4.0;77SL4800033
0000BFA6;TAPMV4.0;77SL4800129
0000C000;TAPMV4.0;77SL4800026
0000E655;TAPMV4.0;77SL4800296
0000E65D;TAPMV4.0;77SL4800302
0000E6AB;TAPMV4.0;77SL4800480
0000E6AA;TAPMV4.0;77SL4800568
0000E6B6;TAPMV4.0;77SL4800490
0000E6A1;TAPMV4.0;77SL4800469
0000E73E;TAPMV4.0;77SL4800342
0000E698;TAPMV4.0;77SL4800476
0000E669;TAPMV4.0;77SL4800373
0000E752;TAPMV4.0;77SL4800522
0000E643;TAPMV4.0;77SL4800544
0000E742;TAPMV4.0;77SL4800348
0000E70C;TAPMV4.0;77SL4800394
0000E73D;TAPMV4.0;77SL4800343
0000E743;TAPMV4.0;77SL4800349
0000E67F;TAPMV4.0;77SL4800559
0000E645;TAPMV4.0;77SL4800542
0000E735;TAPMV4.0;77SL4800385
0000E73F;TAPMV4.0;77SL4800347
0000E746;TAPMV4.0;77SL4800334
0000E74D;TAPMV4.0;77SL4800339
0000E6F9;TAPMV4.0;77SL4800415
0000E671;TAPMV4.0;77SL4800381
0000E707;TAPMV4.0;77SL4800357
0000E687;TAPMV4.0;77SL4800431
0000E66E;TAPMV4.0;77SL4800380
0000E6C2;TAPMV4.0;77SL4800413
0000E761;TAPMV4.0;77SL4800229
0000E66F;TAPMV4.0;77SL4800379
0000E62D;TAPMV4.0;77SL4800570
0000E703;TAPMV4.0;77SL4800355
0000E629;TAPMV4.0;77SL4800534
0000E704;TAPMV4.0;77SL4800356
0000E625;TAPMV4.0;77SL4800537
0000E749;TAPMV4.0;77SL4800338
0000E628;TAPMV4.0;77SL4800535
0000E70A;TAPMV4.0;77SL4800390
0000E641;TAPMV4.0;77SL4800540
0000E6FE;TAPMV4.0;77SL4800421
0000E63F;TAPMV4.0;77SL4800498
0000E682;TAPMV4.0;77SL4800556
0000E672;TAPMV4.0;77SL4800362
0000E718;TAPMV4.0;77SL4800512
0000E706;TAPMV4.0;77SL4800358
0000E662;TAPMV4.0;77SL4800448
0000E70E;TAPMV4.0;77SL4800398
0000E66A;TAPMV4.0;77SL4800374
0000E6A5;TAPMV4.0;77SL4800561
0000E700;TAPMV4.0;77SL4800352
0000E679;TAPMV4.0;77SL4800371
0000E758;TAPMV4.0;77SL4800528
0000E708;TAPMV4.0;77SL4800361
0000E650;TAPMV4.0;77SL4800289
