verification_id;run_id;type;name;stop_if_fail;max_retries
2970;743;TX;LO_leakage;t;0
2971;743;TX;power_level;t;0
2972;743;TX;IQ_imbalance;f;0
2973;744;RX;IQ_imbalance;f;3
2974;744;TX;LO_leakage;t;0
2975;744;TX;power_level;t;0
2976;744;TX;IQ_imbalance;f;0
2977;745;RX;IQ_imbalance;f;3
2978;745;TX;LO_leakage;t;0
2979;745;TX;power_level;t;0
2980;745;TX;IQ_imbalance;f;0
2981;746;RX;IQ_imbalance;f;3
2982;746;TX;LO_leakage;t;0
2983;746;TX;power_level;t;0
2984;746;TX;IQ_imbalance;f;0
2985;747;RX;IQ_imbalance;f;3
2986;747;TX;LO_leakage;t;0
2987;747;TX;power_level;t;0
2988;747;TX;IQ_imbalance;f;0
2989;748;RX;IQ_imbalance;f;3
2990;748;TX;LO_leakage;t;0
2991;748;TX;power_level;t;0
2992;748;TX;IQ_imbalance;f;0
2993;749;RX;IQ_imbalance;f;3
2994;749;TX;LO_leakage;t;0
2995;749;TX;power_level;t;0
2996;749;TX;IQ_imbalance;f;0
2997;750;RX;IQ_imbalance;f;3
2998;750;TX;LO_leakage;t;0
2999;750;TX;power_level;t;0
3000;750;TX;IQ_imbalance;f;0
3001;751;RX;IQ_imbalance;f;3
3002;751;TX;LO_leakage;t;0
3003;751;TX;power_level;t;0
3004;751;TX;IQ_imbalance;f;0
3005;752;RX;IQ_imbalance;f;3
3006;752;TX;LO_leakage;t;0
3007;752;TX;power_level;t;0
3008;752;TX;IQ_imbalance;f;0
3009;753;RX;IQ_imbalance;f;3
3010;753;TX;LO_leakage;t;0
3011;753;TX;power_level;t;0
3012;753;TX;IQ_imbalance;f;0
3013;754;RX;IQ_imbalance;f;3
3014;754;TX;LO_leakage;t;0
3015;754;TX;power_level;t;0
3016;754;TX;IQ_imbalance;f;0
3017;755;RX;IQ_imbalance;f;3
3018;755;TX;LO_leakage;t;0
3019;755;TX;power_level;t;0
3020;755;TX;IQ_imbalance;f;0
3021;756;RX;IQ_imbalance;f;3
